Epoch 69/100, train loss:0.31158, valid auc:0.718503, valid acc:0.83795, best auc:0.72886
Epoch 70/100, train loss:0.31048, valid auc:0.718803, valid acc:0.84057, best auc:0.72886
Epoch 71/100, train loss:0.31005, valid auc:0.717652, valid acc:0.83863, best auc:0.72886
Epoch 72/100, train loss:0.30927, valid auc:0.717089, valid acc:0.83834, best auc:0.72886
Epoch 73/100, train loss:0.30811, valid auc:0.716885, valid acc:0.83645, best auc:0.72886
Epoch 74/100, train loss:0.30760, valid auc:0.716120, valid acc:0.83733, best auc:0.72886
Epoch 75/100, train loss:0.30690, valid auc:0.716866, valid acc:0.83641, best auc:0.72886
Epoch 76/100, train loss:0.30630, valid auc:0.717086, valid acc:0.83749, best auc:0.72886
Epoch 77/100, train loss:0.30521, valid auc:0.714383, valid acc:0.83484, best auc:0.72886
Epoch 78/100, train loss:0.30463, valid auc:0.715194, valid acc:0.83703, best auc:0.72886
Epoch 79/100, train loss:0.30383, valid auc:0.715121, valid acc:0.83620, best auc:0.72886
Epoch 80/100, train loss:0.30343, valid auc:0.715039, valid acc:0.83502, best auc:0.72886
Epoch 81/100, train loss:0.30259, valid auc:0.713794, valid acc:0.83528, best auc:0.72886
Epoch 82/100, train loss:0.30204, valid auc:0.714143, valid acc:0.83636, best auc:0.72886
Epoch 83/100, train loss:0.30118, valid auc:0.714116, valid acc:0.83621, best auc:0.72886
Epoch 84/100, train loss:0.30040, valid auc:0.714691, valid acc:0.83580, best auc:0.72886
Epoch 85/100, train loss:0.29993, valid auc:0.712320, valid acc:0.83111, best auc:0.72886
Epoch 86/100, train loss:0.29934, valid auc:0.714465, valid acc:0.83991, best auc:0.72886
Epoch 87/100, train loss:0.29884, valid auc:0.712809, valid acc:0.83619, best auc:0.72886
Epoch 88/100, train loss:0.29794, valid auc:0.713636, valid acc:0.83555, best auc:0.72886
Epoch 89/100, train loss:0.29756, valid auc:0.711635, valid acc:0.83322, best auc:0.72886
Epoch 90/100, train loss:0.29707, valid auc:0.712701, valid acc:0.83571, best auc:0.72886
Epoch 91/100, train loss:0.29631, valid auc:0.711499, valid acc:0.83372, best auc:0.72886
Epoch 92/100, train loss:0.29561, valid auc:0.712680, valid acc:0.83672, best auc:0.72886
Epoch 93/100, train loss:0.29460, valid auc:0.711515, valid acc:0.83431, best auc:0.72886
Epoch 94/100, train loss:0.29422, valid auc:0.711429, valid acc:0.83314, best auc:0.72886
Epoch 95/100, train loss:0.29328, valid auc:0.712083, valid acc:0.83950, best auc:0.72886
Epoch 96/100, train loss:0.29313, valid auc:0.710527, valid acc:0.83340, best auc:0.72886
Epoch 97/100, train loss:0.29225, valid auc:0.711282, valid acc:0.83758, best auc:0.72886
Epoch 98/100, train loss:0.29200, valid auc:0.710971, valid acc:0.83497, best auc:0.72886
Epoch 99/100, train loss:0.29146, valid auc:0.709799, valid acc:0.83384, best auc:0.72886
Epoch 100/100, train loss:0.29038, valid auc:0.711467, valid acc:0.83786, best auc:0.72886
