Epoch 69/100, train loss:0.25396, valid auc:0.707358, valid acc:0.83276, best auc:0.73802
Epoch 70/100, train loss:0.25376, valid auc:0.707212, valid acc:0.83347, best auc:0.73802
Epoch 71/100, train loss:0.25305, valid auc:0.706303, valid acc:0.83363, best auc:0.73802
Epoch 72/100, train loss:0.25221, valid auc:0.706176, valid acc:0.83344, best auc:0.73802
Epoch 73/100, train loss:0.25110, valid auc:0.705330, valid acc:0.83165, best auc:0.73802
Epoch 74/100, train loss:0.25042, valid auc:0.706019, valid acc:0.83329, best auc:0.73802
Epoch 75/100, train loss:0.25003, valid auc:0.704700, valid acc:0.83201, best auc:0.73802
Epoch 76/100, train loss:0.24902, valid auc:0.704864, valid acc:0.83163, best auc:0.73802
Epoch 77/100, train loss:0.24882, valid auc:0.704525, valid acc:0.83262, best auc:0.73802
Epoch 78/100, train loss:0.24819, valid auc:0.703458, valid acc:0.83080, best auc:0.73802
Epoch 79/100, train loss:0.24794, valid auc:0.703170, valid acc:0.83099, best auc:0.73802
Epoch 80/100, train loss:0.24716, valid auc:0.702932, valid acc:0.82976, best auc:0.73802
Epoch 81/100, train loss:0.24639, valid auc:0.702821, valid acc:0.83147, best auc:0.73802
Epoch 82/100, train loss:0.24571, valid auc:0.702723, valid acc:0.83005, best auc:0.73802
Epoch 83/100, train loss:0.24532, valid auc:0.702124, valid acc:0.83010, best auc:0.73802
Epoch 84/100, train loss:0.24491, valid auc:0.702424, valid acc:0.82974, best auc:0.73802
Epoch 85/100, train loss:0.24428, valid auc:0.702117, valid acc:0.83028, best auc:0.73802
Epoch 86/100, train loss:0.24351, valid auc:0.701693, valid acc:0.82930, best auc:0.73802
Epoch 87/100, train loss:0.24312, valid auc:0.701133, valid acc:0.83001, best auc:0.73802
Epoch 88/100, train loss:0.24301, valid auc:0.700931, valid acc:0.82914, best auc:0.73802
Epoch 89/100, train loss:0.24197, valid auc:0.700954, valid acc:0.82924, best auc:0.73802
Epoch 90/100, train loss:0.24181, valid auc:0.700219, valid acc:0.82881, best auc:0.73802
Epoch 91/100, train loss:0.24155, valid auc:0.699832, valid acc:0.82952, best auc:0.73802
Epoch 92/100, train loss:0.24055, valid auc:0.699312, valid acc:0.82776, best auc:0.73802
Epoch 93/100, train loss:0.24006, valid auc:0.698765, valid acc:0.82788, best auc:0.73802
Epoch 94/100, train loss:0.24018, valid auc:0.699097, valid acc:0.82775, best auc:0.73802
Epoch 95/100, train loss:0.23991, valid auc:0.698746, valid acc:0.82767, best auc:0.73802
Epoch 96/100, train loss:0.23887, valid auc:0.698083, valid acc:0.82816, best auc:0.73802
Epoch 97/100, train loss:0.23851, valid auc:0.698054, valid acc:0.82745, best auc:0.73802
Epoch 98/100, train loss:0.23829, valid auc:0.697647, valid acc:0.82793, best auc:0.73802
Epoch 99/100, train loss:0.23756, valid auc:0.698307, valid acc:0.82783, best auc:0.73802
Epoch 100/100, train loss:0.23753, valid auc:0.697483, valid acc:0.82789, best auc:0.73802
