Epoch 1/100, train loss:0.57030, valid auc:0.759523, valid acc:0.75148, best auc:0.00000
Epoch 2/100, train loss:0.50603, valid auc:0.761479, valid acc:0.75103, best auc:0.75952
Epoch 3/100, train loss:0.50501, valid auc:0.763004, valid acc:0.75149, best auc:0.76148
Epoch 4/100, train loss:0.50389, valid auc:0.764302, valid acc:0.75207, best auc:0.76300
Epoch 5/100, train loss:0.50293, valid auc:0.765304, valid acc:0.75197, best auc:0.76430
Epoch 6/100, train loss:0.50039, valid auc:0.774179, valid acc:0.75536, best auc:0.76530
Epoch 7/100, train loss:0.49016, valid auc:0.785710, valid acc:0.76496, best auc:0.77418
Epoch 8/100, train loss:0.48186, valid auc:0.791776, valid acc:0.77077, best auc:0.78571
Epoch 9/100, train loss:0.47733, valid auc:0.796452, valid acc:0.77211, best auc:0.79178
Epoch 10/100, train loss:0.47310, valid auc:0.800726, valid acc:0.77382, best auc:0.79645
Epoch 11/100, train loss:0.46904, valid auc:0.804963, valid acc:0.77492, best auc:0.80073
Epoch 12/100, train loss:0.46527, valid auc:0.809545, valid acc:0.77578, best auc:0.80496
Epoch 13/100, train loss:0.46105, valid auc:0.813757, valid acc:0.77627, best auc:0.80954
Epoch 14/100, train loss:0.45727, valid auc:0.817363, valid acc:0.77806, best auc:0.81376
Epoch 15/100, train loss:0.45391, valid auc:0.820307, valid acc:0.77844, best auc:0.81736
Epoch 16/100, train loss:0.45045, valid auc:0.824665, valid acc:0.78068, best auc:0.82031
Epoch 17/100, train loss:0.44648, valid auc:0.828149, valid acc:0.78178, best auc:0.82466
Epoch 18/100, train loss:0.44277, valid auc:0.831733, valid acc:0.78353, best auc:0.82815
Epoch 19/100, train loss:0.43884, valid auc:0.835900, valid acc:0.78579, best auc:0.83173
Epoch 20/100, train loss:0.43467, valid auc:0.839566, valid acc:0.78675, best auc:0.83590
Epoch 21/100, train loss:0.43090, valid auc:0.842599, valid acc:0.78894, best auc:0.83957
Epoch 22/100, train loss:0.42756, valid auc:0.845450, valid acc:0.79038, best auc:0.84260
Epoch 23/100, train loss:0.42452, valid auc:0.847208, valid acc:0.79164, best auc:0.84545
Epoch 24/100, train loss:0.42148, valid auc:0.850492, valid acc:0.79327, best auc:0.84721
Epoch 25/100, train loss:0.41858, valid auc:0.851933, valid acc:0.79427, best auc:0.85049
Epoch 26/100, train loss:0.41571, valid auc:0.854820, valid acc:0.79663, best auc:0.85193
Epoch 27/100, train loss:0.41286, valid auc:0.857537, valid acc:0.79868, best auc:0.85482
Epoch 28/100, train loss:0.40993, valid auc:0.859673, valid acc:0.80007, best auc:0.85754
Epoch 29/100, train loss:0.40686, valid auc:0.862515, valid acc:0.80196, best auc:0.85967
Epoch 30/100, train loss:0.40387, valid auc:0.864708, valid acc:0.80333, best auc:0.86252
Epoch 31/100, train loss:0.40075, valid auc:0.866801, valid acc:0.80555, best auc:0.86471
Epoch 32/100, train loss:0.39807, valid auc:0.868626, valid acc:0.80674, best auc:0.86680
Epoch 33/100, train loss:0.39572, valid auc:0.869708, valid acc:0.80741, best auc:0.86863
Epoch 34/100, train loss:0.39341, valid auc:0.871387, valid acc:0.80899, best auc:0.86971
Epoch 35/100, train loss:0.39141, valid auc:0.873210, valid acc:0.81056, best auc:0.87139
Epoch 36/100, train loss:0.38918, valid auc:0.874645, valid acc:0.81175, best auc:0.87321
Epoch 37/100, train loss:0.38726, valid auc:0.876152, valid acc:0.81246, best auc:0.87465
Epoch 38/100, train loss:0.38499, valid auc:0.877503, valid acc:0.81404, best auc:0.87615
Epoch 39/100, train loss:0.38261, valid auc:0.879285, valid acc:0.81503, best auc:0.87750
Epoch 40/100, train loss:0.38049, valid auc:0.880553, valid acc:0.81592, best auc:0.87928
Epoch 41/100, train loss:0.37832, valid auc:0.881902, valid acc:0.81702, best auc:0.88055
Epoch 42/100, train loss:0.37628, valid auc:0.883322, valid acc:0.81724, best auc:0.88190
Epoch 43/100, train loss:0.37418, valid auc:0.884731, valid acc:0.81881, best auc:0.88332
Epoch 44/100, train loss:0.37213, valid auc:0.886094, valid acc:0.81956, best auc:0.88473
Epoch 45/100, train loss:0.36992, valid auc:0.887636, valid acc:0.82105, best auc:0.88609
Epoch 46/100, train loss:0.36795, valid auc:0.888775, valid acc:0.82178, best auc:0.88764
Epoch 47/100, train loss:0.36593, valid auc:0.890075, valid acc:0.82255, best auc:0.88878
Epoch 48/100, train loss:0.36409, valid auc:0.891414, valid acc:0.82351, best auc:0.89007
Epoch 49/100, train loss:0.36237, valid auc:0.892373, valid acc:0.82438, best auc:0.89141
Epoch 50/100, train loss:0.36066, valid auc:0.893252, valid acc:0.82510, best auc:0.89237
Epoch 51/100, train loss:0.35913, valid auc:0.894420, valid acc:0.82616, best auc:0.89325
Epoch 52/100, train loss:0.35754, valid auc:0.895124, valid acc:0.82654, best auc:0.89442
Epoch 53/100, train loss:0.35609, valid auc:0.896080, valid acc:0.82685, best auc:0.89512
Epoch 54/100, train loss:0.35477, valid auc:0.896896, valid acc:0.82769, best auc:0.89608
Epoch 55/100, train loss:0.35343, valid auc:0.897563, valid acc:0.82798, best auc:0.89690
Epoch 56/100, train loss:0.35207, valid auc:0.898553, valid acc:0.82878, best auc:0.89756
