Epoch 1/100, train loss:0.43961, valid auc:0.670558, valid acc:0.84295, best auc:0.00000
Epoch 2/100, train loss:0.41069, valid auc:0.683796, valid acc:0.84359, best auc:0.67056
Epoch 3/100, train loss:0.40483, valid auc:0.692697, valid acc:0.84453, best auc:0.68380
Epoch 4/100, train loss:0.40136, valid auc:0.695661, valid acc:0.84495, best auc:0.69270
Epoch 5/100, train loss:0.39899, valid auc:0.701420, valid acc:0.84541, best auc:0.69566
Epoch 6/100, train loss:0.39469, valid auc:0.708197, valid acc:0.84619, best auc:0.70142
Epoch 7/100, train loss:0.39171, valid auc:0.712754, valid acc:0.84659, best auc:0.70820
Epoch 8/100, train loss:0.38913, valid auc:0.715294, valid acc:0.84674, best auc:0.71275
Epoch 9/100, train loss:0.38727, valid auc:0.716593, valid acc:0.84696, best auc:0.71529
Epoch 10/100, train loss:0.38601, valid auc:0.716819, valid acc:0.84693, best auc:0.71659
Epoch 11/100, train loss:0.38501, valid auc:0.716748, valid acc:0.84687, best auc:0.71682
Epoch 12/100, train loss:0.38409, valid auc:0.716943, valid acc:0.84667, best auc:0.71682
Epoch 13/100, train loss:0.38343, valid auc:0.716832, valid acc:0.84641, best auc:0.71694
Epoch 14/100, train loss:0.38274, valid auc:0.716252, valid acc:0.84594, best auc:0.71694
Epoch 15/100, train loss:0.38173, valid auc:0.716627, valid acc:0.84566, best auc:0.71694
Epoch 16/100, train loss:0.38177, valid auc:0.716913, valid acc:0.84622, best auc:0.71694
Epoch 17/100, train loss:0.38052, valid auc:0.717183, valid acc:0.84589, best auc:0.71694
Epoch 18/100, train loss:0.37976, valid auc:0.717515, valid acc:0.84584, best auc:0.71718
Epoch 19/100, train loss:0.37860, valid auc:0.718510, valid acc:0.84562, best auc:0.71751
Epoch 20/100, train loss:0.37677, valid auc:0.718470, valid acc:0.84571, best auc:0.71851
Epoch 21/100, train loss:0.37526, valid auc:0.719638, valid acc:0.84560, best auc:0.71851
Epoch 22/100, train loss:0.37363, valid auc:0.720496, valid acc:0.84591, best auc:0.71964
Epoch 23/100, train loss:0.37239, valid auc:0.721017, valid acc:0.84588, best auc:0.72050
Epoch 24/100, train loss:0.37015, valid auc:0.722119, valid acc:0.84548, best auc:0.72102
Epoch 25/100, train loss:0.36764, valid auc:0.722134, valid acc:0.84544, best auc:0.72212
Epoch 26/100, train loss:0.36565, valid auc:0.723761, valid acc:0.84624, best auc:0.72213
Epoch 27/100, train loss:0.36419, valid auc:0.723452, valid acc:0.84622, best auc:0.72376
Epoch 28/100, train loss:0.36240, valid auc:0.724056, valid acc:0.84565, best auc:0.72376
Epoch 29/100, train loss:0.36075, valid auc:0.724434, valid acc:0.84629, best auc:0.72406
Epoch 30/100, train loss:0.35931, valid auc:0.724781, valid acc:0.84617, best auc:0.72443
Epoch 31/100, train loss:0.35818, valid auc:0.724491, valid acc:0.84659, best auc:0.72478
Epoch 32/100, train loss:0.35699, valid auc:0.724151, valid acc:0.84621, best auc:0.72478
Epoch 33/100, train loss:0.35522, valid auc:0.724787, valid acc:0.84537, best auc:0.72478
Epoch 34/100, train loss:0.35419, valid auc:0.723583, valid acc:0.84427, best auc:0.72479
Epoch 35/100, train loss:0.35344, valid auc:0.723771, valid acc:0.84498, best auc:0.72479
Epoch 36/100, train loss:0.35201, valid auc:0.725014, valid acc:0.84603, best auc:0.72479
Epoch 37/100, train loss:0.35118, valid auc:0.724137, valid acc:0.84516, best auc:0.72501
Epoch 38/100, train loss:0.35012, valid auc:0.724659, valid acc:0.84490, best auc:0.72501
Epoch 39/100, train loss:0.34904, valid auc:0.724052, valid acc:0.84548, best auc:0.72501
Epoch 40/100, train loss:0.34792, valid auc:0.723755, valid acc:0.84341, best auc:0.72501
Epoch 41/100, train loss:0.34690, valid auc:0.723353, valid acc:0.84387, best auc:0.72501
Epoch 42/100, train loss:0.34634, valid auc:0.723753, valid acc:0.84297, best auc:0.72501
Epoch 43/100, train loss:0.34517, valid auc:0.723609, valid acc:0.84474, best auc:0.72501
Epoch 44/100, train loss:0.34471, valid auc:0.722443, valid acc:0.84264, best auc:0.72501
Epoch 45/100, train loss:0.34378, valid auc:0.723385, valid acc:0.84356, best auc:0.72501
Epoch 46/100, train loss:0.34293, valid auc:0.723097, valid acc:0.84404, best auc:0.72501
Epoch 47/100, train loss:0.34195, valid auc:0.723765, valid acc:0.84444, best auc:0.72501
Epoch 48/100, train loss:0.34109, valid auc:0.722346, valid acc:0.84383, best auc:0.72501
Epoch 49/100, train loss:0.33994, valid auc:0.722071, valid acc:0.84271, best auc:0.72501
Epoch 50/100, train loss:0.33925, valid auc:0.722790, valid acc:0.84282, best auc:0.72501
Epoch 51/100, train loss:0.33841, valid auc:0.722469, valid acc:0.84250, best auc:0.72501
Epoch 52/100, train loss:0.33715, valid auc:0.723012, valid acc:0.84116, best auc:0.72501
Epoch 53/100, train loss:0.33610, valid auc:0.722666, valid acc:0.84219, best auc:0.72501
Epoch 54/100, train loss:0.33514, valid auc:0.721123, valid acc:0.84107, best auc:0.72501
Epoch 55/100, train loss:0.33406, valid auc:0.721478, valid acc:0.84110, best auc:0.72501
Epoch 56/100, train loss:0.33374, valid auc:0.722882, valid acc:0.84462, best auc:0.72501
Epoch 57/100, train loss:0.33277, valid auc:0.722387, valid acc:0.84237, best auc:0.72501
Epoch 58/100, train loss:0.33157, valid auc:0.722223, valid acc:0.84247, best auc:0.72501
Epoch 59/100, train loss:0.33091, valid auc:0.720958, valid acc:0.83842, best auc:0.72501
Epoch 60/100, train loss:0.32932, valid auc:0.721999, valid acc:0.84132, best auc:0.72501
Epoch 61/100, train loss:0.32864, valid auc:0.722318, valid acc:0.84349, best auc:0.72501
Epoch 62/100, train loss:0.32752, valid auc:0.721675, valid acc:0.83987, best auc:0.72501
Epoch 63/100, train loss:0.32716, valid auc:0.721182, valid acc:0.84180, best auc:0.72501
Epoch 64/100, train loss:0.32649, valid auc:0.721992, valid acc:0.84098, best auc:0.72501
Epoch 65/100, train loss:0.32521, valid auc:0.721346, valid acc:0.84029, best auc:0.72501
Epoch 66/100, train loss:0.32460, valid auc:0.721759, valid acc:0.84199, best auc:0.72501
Epoch 67/100, train loss:0.32390, valid auc:0.721605, valid acc:0.84371, best auc:0.72501
Epoch 68/100, train loss:0.32292, valid auc:0.721812, valid acc:0.84026, best auc:0.72501
Epoch 69/100, train loss:0.32250, valid auc:0.719526, valid acc:0.84063, best auc:0.72501
Epoch 70/100, train loss:0.32113, valid auc:0.720844, valid acc:0.83916, best auc:0.72501
Epoch 71/100, train loss:0.32090, valid auc:0.720381, valid acc:0.83975, best auc:0.72501
Epoch 72/100, train loss:0.31988, valid auc:0.719673, valid acc:0.83879, best auc:0.72501
Epoch 73/100, train loss:0.31864, valid auc:0.717051, valid acc:0.83619, best auc:0.72501
