Epoch 67/100, train loss:0.466753, valid auc:0.72800, valid acc:0.60960, valid f1:0.73947
Epoch 68/100, train loss:0.466232, valid auc:0.72810, valid acc:0.60896, valid f1:0.73898
Epoch 69/100, train loss:0.465844, valid auc:0.72847, valid acc:0.60955, valid f1:0.73944
Epoch 70/100, train loss:0.465086, valid auc:0.72856, valid acc:0.61039, valid f1:0.74011
Epoch 71/100, train loss:0.464398, valid auc:0.72908, valid acc:0.61016, valid f1:0.73992
Epoch 72/100, train loss:0.464196, valid auc:0.72846, valid acc:0.60994, valid f1:0.73978
Epoch 73/100, train loss:0.463804, valid auc:0.72895, valid acc:0.61022, valid f1:0.74003
Epoch 74/100, train loss:0.463441, valid auc:0.72915, valid acc:0.60971, valid f1:0.73961
Epoch 75/100, train loss:0.462997, valid auc:0.72877, valid acc:0.61094, valid f1:0.74065
Epoch 76/100, train loss:0.462534, valid auc:0.72827, valid acc:0.61152, valid f1:0.74107
Epoch 77/100, train loss:0.462136, valid auc:0.72899, valid acc:0.61068, valid f1:0.74031
Epoch 78/100, train loss:0.461662, valid auc:0.72988, valid acc:0.61096, valid f1:0.74056
Epoch 79/100, train loss:0.461154, valid auc:0.72971, valid acc:0.61058, valid f1:0.74023
Epoch 80/100, train loss:0.460947, valid auc:0.72946, valid acc:0.61061, valid f1:0.74027
Epoch 81/100, train loss:0.464179, valid auc:0.72860, valid acc:0.61213, valid f1:0.74155
Epoch 82/100, train loss:0.463244, valid auc:0.72863, valid acc:0.61163, valid f1:0.74121
Epoch 83/100, train loss:0.462381, valid auc:0.72827, valid acc:0.61314, valid f1:0.74246
Epoch 84/100, train loss:0.461524, valid auc:0.72872, valid acc:0.61251, valid f1:0.74195
Epoch 85/100, train loss:0.460476, valid auc:0.72865, valid acc:0.61275, valid f1:0.74219
Epoch 86/100, train loss:0.459810, valid auc:0.72883, valid acc:0.61265, valid f1:0.74216
Epoch 87/100, train loss:0.459134, valid auc:0.72889, valid acc:0.61286, valid f1:0.74225
Epoch 88/100, train loss:0.458519, valid auc:0.72890, valid acc:0.61266, valid f1:0.74211
Epoch 89/100, train loss:0.457821, valid auc:0.72888, valid acc:0.61299, valid f1:0.74242
Epoch 90/100, train loss:0.457304, valid auc:0.72930, valid acc:0.61331, valid f1:0.74263
Epoch 91/100, train loss:0.457018, valid auc:0.72943, valid acc:0.61333, valid f1:0.74272
Epoch 92/100, train loss:0.456675, valid auc:0.72943, valid acc:0.61304, valid f1:0.74239
Epoch 93/100, train loss:0.456202, valid auc:0.72951, valid acc:0.61417, valid f1:0.74342
Epoch 94/100, train loss:0.455885, valid auc:0.72861, valid acc:0.61365, valid f1:0.74302
Epoch 95/100, train loss:0.455334, valid auc:0.72898, valid acc:0.61332, valid f1:0.74274
Epoch 96/100, train loss:0.454971, valid auc:0.72898, valid acc:0.61379, valid f1:0.74310
Epoch 97/100, train loss:0.454508, valid auc:0.72896, valid acc:0.61323, valid f1:0.74263
Epoch 98/100, train loss:0.454172, valid auc:0.72923, valid acc:0.61390, valid f1:0.74322
Epoch 99/100, train loss:0.453706, valid auc:0.72956, valid acc:0.61469, valid f1:0.74390
Epoch 100/100, train loss:0.453586, valid auc:0.72929, valid acc:0.61447, valid f1:0.74372
