Epoch 1/100, train loss:0.640253, valid auc:0.61762, valid acc:0.60890, valid f1:0.74400
Epoch 2/100, train loss:0.677359, valid auc:0.64829, valid acc:0.58850, valid f1:0.72374
Epoch 3/100, train loss:0.619207, valid auc:0.65363, valid acc:0.58740, valid f1:0.72295
Epoch 4/100, train loss:0.587160, valid auc:0.67601, valid acc:0.59384, valid f1:0.72760
Epoch 5/100, train loss:0.572360, valid auc:0.68345, valid acc:0.59605, valid f1:0.72943
Epoch 6/100, train loss:0.569554, valid auc:0.68460, valid acc:0.59340, valid f1:0.72724
Epoch 7/100, train loss:0.581918, valid auc:0.67977, valid acc:0.59527, valid f1:0.72915
Epoch 8/100, train loss:0.570696, valid auc:0.68476, valid acc:0.59472, valid f1:0.72848
Epoch 9/100, train loss:0.557525, valid auc:0.69799, valid acc:0.59758, valid f1:0.73058
Epoch 10/100, train loss:0.541758, valid auc:0.70284, valid acc:0.60123, valid f1:0.73321
Epoch 11/100, train loss:0.530546, valid auc:0.70543, valid acc:0.59960, valid f1:0.73184
Epoch 12/100, train loss:0.521203, valid auc:0.70877, valid acc:0.60044, valid f1:0.73231
Epoch 13/100, train loss:0.520953, valid auc:0.70868, valid acc:0.59979, valid f1:0.73186
Epoch 14/100, train loss:0.516551, valid auc:0.71141, valid acc:0.60176, valid f1:0.73335
Epoch 15/100, train loss:0.512469, valid auc:0.71322, valid acc:0.60054, valid f1:0.73225
Epoch 16/100, train loss:0.507774, valid auc:0.71482, valid acc:0.60186, valid f1:0.73334
Epoch 17/100, train loss:0.505046, valid auc:0.71852, valid acc:0.60103, valid f1:0.73243
Epoch 18/100, train loss:0.503054, valid auc:0.72222, valid acc:0.60114, valid f1:0.73246
Epoch 19/100, train loss:0.501081, valid auc:0.72048, valid acc:0.60154, valid f1:0.73300
Epoch 20/100, train loss:0.499909, valid auc:0.71999, valid acc:0.60162, valid f1:0.73304
Epoch 21/100, train loss:0.509158, valid auc:0.71550, valid acc:0.60024, valid f1:0.73195
Epoch 22/100, train loss:0.505108, valid auc:0.71699, valid acc:0.60105, valid f1:0.73251
Epoch 23/100, train loss:0.500928, valid auc:0.71864, valid acc:0.60230, valid f1:0.73359
Epoch 24/100, train loss:0.497092, valid auc:0.71899, valid acc:0.60216, valid f1:0.73348
Epoch 25/100, train loss:0.494304, valid auc:0.71923, valid acc:0.60235, valid f1:0.73361
