Epoch 1/100, train loss:0.687559, valid auc:0.59131, valid acc:0.62060, valid f1:0.75476
Epoch 2/100, train loss:0.668412, valid auc:0.64738, valid acc:0.60585, valid f1:0.73942
Epoch 3/100, train loss:0.605043, valid auc:0.64748, valid acc:0.61790, valid f1:0.74997
Epoch 4/100, train loss:0.556975, valid auc:0.68011, valid acc:0.62442, valid f1:0.75403
Epoch 5/100, train loss:0.534866, valid auc:0.69318, valid acc:0.62173, valid f1:0.75136
Epoch 6/100, train loss:0.524125, valid auc:0.69701, valid acc:0.62306, valid f1:0.75233
Epoch 7/100, train loss:0.519747, valid auc:0.70042, valid acc:0.62250, valid f1:0.75172
Epoch 8/100, train loss:0.515127, valid auc:0.70547, valid acc:0.62172, valid f1:0.75077
Epoch 9/100, train loss:0.508379, valid auc:0.70313, valid acc:0.62159, valid f1:0.75070
Epoch 10/100, train loss:0.502693, valid auc:0.70818, valid acc:0.62383, valid f1:0.75248
Epoch 11/100, train loss:0.501410, valid auc:0.70846, valid acc:0.62056, valid f1:0.74988
Epoch 12/100, train loss:0.498590, valid auc:0.71217, valid acc:0.62309, valid f1:0.75170
Epoch 13/100, train loss:0.492889, valid auc:0.71605, valid acc:0.61901, valid f1:0.74832
Epoch 14/100, train loss:0.490997, valid auc:0.71751, valid acc:0.62016, valid f1:0.74911
Epoch 15/100, train loss:0.488557, valid auc:0.71856, valid acc:0.62146, valid f1:0.75014
Epoch 16/100, train loss:0.485393, valid auc:0.72198, valid acc:0.61913, valid f1:0.74810
Epoch 17/100, train loss:0.484393, valid auc:0.72253, valid acc:0.62207, valid f1:0.75062
Epoch 18/100, train loss:0.483274, valid auc:0.72065, valid acc:0.62288, valid f1:0.75136
Epoch 19/100, train loss:0.481691, valid auc:0.72456, valid acc:0.62242, valid f1:0.75089
Epoch 20/100, train loss:0.481118, valid auc:0.72019, valid acc:0.62292, valid f1:0.75131
Epoch 21/100, train loss:0.484116, valid auc:0.71946, valid acc:0.62161, valid f1:0.75032
Epoch 22/100, train loss:0.479450, valid auc:0.72089, valid acc:0.62277, valid f1:0.75119
Epoch 23/100, train loss:0.475631, valid auc:0.72138, valid acc:0.62486, valid f1:0.75304
