Epoch 1/100, train loss:0.415950, valid auc:0.85948, valid acc:0.80391, valid f1:0.86202
Epoch 2/100, train loss:0.439687, valid auc:0.84950, valid acc:0.79685, valid f1:0.85653
Epoch 3/100, train loss:0.446166, valid auc:0.85035, valid acc:0.79093, valid f1:0.85039
Epoch 4/100, train loss:0.434985, valid auc:0.85589, valid acc:0.79160, valid f1:0.85039
Epoch 5/100, train loss:0.467693, valid auc:0.83868, valid acc:0.77509, valid f1:0.83720
Epoch 6/100, train loss:0.477702, valid auc:0.83697, valid acc:0.76903, valid f1:0.83076
Epoch 7/100, train loss:0.490609, valid auc:0.83130, valid acc:0.76287, valid f1:0.82489
Epoch 8/100, train loss:0.492041, valid auc:0.83116, valid acc:0.76268, valid f1:0.82405
Epoch 9/100, train loss:0.491559, valid auc:0.83350, valid acc:0.76156, valid f1:0.82305
Epoch 10/100, train loss:0.494036, valid auc:0.83449, valid acc:0.75846, valid f1:0.81995
Epoch 11/100, train loss:0.493430, valid auc:0.83688, valid acc:0.76209, valid f1:0.82238
Epoch 12/100, train loss:0.490717, valid auc:0.84130, valid acc:0.77118, valid f1:0.83036
Epoch 13/100, train loss:0.489074, valid auc:0.84100, valid acc:0.77369, valid f1:0.83389
Epoch 14/100, train loss:0.483296, valid auc:0.84105, valid acc:0.77210, valid f1:0.83231
Epoch 15/100, train loss:0.494630, valid auc:0.83376, valid acc:0.76527, valid f1:0.82750
Epoch 16/100, train loss:0.488803, valid auc:0.83713, valid acc:0.77567, valid f1:0.83750
Epoch 17/100, train loss:0.488472, valid auc:0.83394, valid acc:0.77174, valid f1:0.83372
Epoch 18/100, train loss:0.493276, valid auc:0.83450, valid acc:0.76669, valid f1:0.82869
