Epoch 1/100, train loss:0.731300, valid auc:0.56154, valid acc:0.59470, valid f1:0.73364
Epoch 2/100, train loss:0.717714, valid auc:0.61282, valid acc:0.57629, valid f1:0.71517
Epoch 3/100, train loss:0.657544, valid auc:0.61723, valid acc:0.59618, valid f1:0.73242
Epoch 4/100, train loss:0.620931, valid auc:0.63666, valid acc:0.60091, valid f1:0.73586
Epoch 5/100, train loss:0.593633, valid auc:0.65168, valid acc:0.60065, valid f1:0.73504
Epoch 6/100, train loss:0.573660, valid auc:0.66653, valid acc:0.60143, valid f1:0.73488
Epoch 7/100, train loss:0.561535, valid auc:0.67569, valid acc:0.60063, valid f1:0.73394
Epoch 8/100, train loss:0.553446, valid auc:0.68134, valid acc:0.60301, valid f1:0.73561
Epoch 9/100, train loss:0.548908, valid auc:0.68776, valid acc:0.60257, valid f1:0.73513
Epoch 10/100, train loss:0.549105, valid auc:0.69295, valid acc:0.60307, valid f1:0.73533
Epoch 11/100, train loss:0.555076, valid auc:0.69701, valid acc:0.60281, valid f1:0.73481
Epoch 12/100, train loss:0.541471, valid auc:0.69862, valid acc:0.60190, valid f1:0.73394
Epoch 13/100, train loss:0.534245, valid auc:0.70114, valid acc:0.60199, valid f1:0.73401
Epoch 14/100, train loss:0.528614, valid auc:0.70232, valid acc:0.60004, valid f1:0.73234
Epoch 15/100, train loss:0.522248, valid auc:0.70478, valid acc:0.60063, valid f1:0.73264
Epoch 16/100, train loss:0.518312, valid auc:0.70286, valid acc:0.60124, valid f1:0.73330
Epoch 17/100, train loss:0.515723, valid auc:0.70741, valid acc:0.60361, valid f1:0.73501
Epoch 18/100, train loss:0.512329, valid auc:0.70739, valid acc:0.60092, valid f1:0.73280
Epoch 19/100, train loss:0.508698, valid auc:0.70854, valid acc:0.60262, valid f1:0.73415
Epoch 20/100, train loss:0.506913, valid auc:0.71118, valid acc:0.60275, valid f1:0.73414
Epoch 21/100, train loss:0.511789, valid auc:0.71022, valid acc:0.60375, valid f1:0.73506
