Epoch 1/100, train loss:0.667538, valid auc:0.59297, valid acc:0.60810, valid f1:0.74429
Epoch 2/100, train loss:0.724026, valid auc:0.65157, valid acc:0.59562, valid f1:0.73008
Epoch 3/100, train loss:0.739486, valid auc:0.64092, valid acc:0.59955, valid f1:0.73404
Epoch 4/100, train loss:0.685076, valid auc:0.65075, valid acc:0.59708, valid f1:0.73175
Epoch 5/100, train loss:0.588674, valid auc:0.67663, valid acc:0.60911, valid f1:0.74120
Epoch 6/100, train loss:0.566528, valid auc:0.69029, valid acc:0.60960, valid f1:0.74115
Epoch 7/100, train loss:0.551960, valid auc:0.69738, valid acc:0.61406, valid f1:0.74471
Epoch 8/100, train loss:0.542789, valid auc:0.69892, valid acc:0.61134, valid f1:0.74253
Epoch 9/100, train loss:0.544865, valid auc:0.69766, valid acc:0.61359, valid f1:0.74437
Epoch 10/100, train loss:0.567722, valid auc:0.69136, valid acc:0.61742, valid f1:0.74784
Epoch 11/100, train loss:0.546883, valid auc:0.69690, valid acc:0.61690, valid f1:0.74705
Epoch 12/100, train loss:0.541656, valid auc:0.69903, valid acc:0.61942, valid f1:0.74933
Epoch 13/100, train loss:0.535278, valid auc:0.70314, valid acc:0.61843, valid f1:0.74824
Epoch 14/100, train loss:0.529984, valid auc:0.70503, valid acc:0.62065, valid f1:0.75023
Epoch 15/100, train loss:0.533893, valid auc:0.70256, valid acc:0.62205, valid f1:0.75148
Epoch 16/100, train loss:0.531459, valid auc:0.70661, valid acc:0.62257, valid f1:0.75156
Epoch 17/100, train loss:0.524508, valid auc:0.70861, valid acc:0.62138, valid f1:0.75050
Epoch 18/100, train loss:0.518727, valid auc:0.70927, valid acc:0.62086, valid f1:0.75020
Epoch 19/100, train loss:0.517702, valid auc:0.71129, valid acc:0.62161, valid f1:0.75071
Epoch 20/100, train loss:0.514918, valid auc:0.71119, valid acc:0.62205, valid f1:0.75101
Epoch 21/100, train loss:0.529237, valid auc:0.70878, valid acc:0.62155, valid f1:0.75063
Epoch 22/100, train loss:0.525258, valid auc:0.70991, valid acc:0.62327, valid f1:0.75212
