Epoch 1/100, train loss:0.637979, valid auc:0.61473, valid acc:0.62088, valid f1:0.75437
Epoch 2/100, train loss:0.879534, valid auc:0.60205, valid acc:0.57518, valid f1:0.71396
Epoch 3/100, train loss:0.727695, valid auc:0.63681, valid acc:0.58438, valid f1:0.72118
Epoch 4/100, train loss:0.655559, valid auc:0.65098, valid acc:0.58988, valid f1:0.72534
Epoch 5/100, train loss:0.621921, valid auc:0.66600, valid acc:0.59374, valid f1:0.72823
Epoch 6/100, train loss:0.566239, valid auc:0.68476, valid acc:0.59571, valid f1:0.72944
Epoch 7/100, train loss:0.546026, valid auc:0.69500, valid acc:0.59989, valid f1:0.73240
Epoch 8/100, train loss:0.533788, valid auc:0.70220, valid acc:0.59932, valid f1:0.73170
Epoch 9/100, train loss:0.527262, valid auc:0.70658, valid acc:0.60183, valid f1:0.73370
Epoch 10/100, train loss:0.522282, valid auc:0.70709, valid acc:0.60059, valid f1:0.73253
Epoch 11/100, train loss:0.520602, valid auc:0.71339, valid acc:0.60113, valid f1:0.73285
Epoch 12/100, train loss:0.522773, valid auc:0.71008, valid acc:0.60026, valid f1:0.73224
Epoch 13/100, train loss:0.522107, valid auc:0.71049, valid acc:0.60031, valid f1:0.73214
Epoch 14/100, train loss:0.521776, valid auc:0.71198, valid acc:0.59967, valid f1:0.73166
Epoch 15/100, train loss:0.520541, valid auc:0.71246, valid acc:0.59959, valid f1:0.73152
Epoch 16/100, train loss:0.516613, valid auc:0.71339, valid acc:0.59859, valid f1:0.73081
Epoch 17/100, train loss:0.513430, valid auc:0.71341, valid acc:0.59906, valid f1:0.73110
Epoch 18/100, train loss:0.511449, valid auc:0.71506, valid acc:0.59959, valid f1:0.73141
Epoch 19/100, train loss:0.509453, valid auc:0.71575, valid acc:0.59981, valid f1:0.73168
Epoch 20/100, train loss:0.508823, valid auc:0.71676, valid acc:0.60133, valid f1:0.73277
Epoch 21/100, train loss:0.521033, valid auc:0.71010, valid acc:0.60057, valid f1:0.73249
